Starting dataset generation. Output file: 'crtbp_natural_language_20260804_035216.jsonl'
Completed Trajectory 1/500 | Saved 196 steps | Cumulative: 196
Completed Trajectory 2/500 | Saved 258 steps | Cumulative: 454
Completed Trajectory 3/500 | Saved 700 steps | Cumulative: 1154
Completed Trajectory 4/500 | Saved 41 steps | Cumulative: 1195
Completed Trajectory 5/500 | Saved 258 steps | Cumulative: 1453
Completed Trajectory 6/500 | Saved 258 steps | Cumulative: 1711
Completed Trajectory 7/500 | Saved 34 steps | Cumulative: 1745
Completed Trajectory 8/500 | Saved 97 steps | Cumulative: 1842
Completed Trajectory 9/500 | Saved 220 steps | Cumulative: 2062
Completed Trajectory 10/500 | Saved 39 steps | Cumulative: 2101
Completed Trajectory 11/500 | Saved 270 steps | Cumulative: 2371
Completed Trajectory 12/500 | Saved 151 steps | Cumulative: 2522
Completed Trajectory 13/500 | Saved 37 steps | Cumulative: 2559
Completed Trajectory 14/500 | Saved 37 steps | Cumulative: 2596
Completed Trajectory 15/500 | Saved 37 steps | Cumulative: 2633
Completed Trajectory 16/500 | Saved 38 steps | Cumulative: 2671
Completed Trajectory 17/500 | Saved 987 steps | Cumulative: 3658
Completed Trajectory 18/500 | Saved 125 steps | Cumulative: 3783
Completed Trajectory 19/500 | Saved 988 steps | Cumulative: 4771
Completed Trajectory 20/500 | Saved 35 steps | Cumulative: 4806
Completed Trajectory 21/500 | Saved 245 steps | Cumulative: 5051
Completed Trajectory 22/500 | Saved 310 steps | Cumulative: 5361
Completed Trajectory 23/500 | Saved 841 steps | Cumulative: 6202
Completed Trajectory 24/500 | Saved 323 steps | Cumulative: 6525
Completed Trajectory 25/500 | Saved 40 steps | Cumulative: 6565
Completed Trajectory 26/500 | Saved 646 steps | Cumulative: 7211
Completed Trajectory 27/500 | Saved 389 steps | Cumulative: 7600
Completed Trajectory 28/500 | Saved 169 steps | Cumulative: 7769
Completed Trajectory 29/500 | Saved 206 steps | Cumulative: 7975
Completed Trajectory 30/500 | Saved 173 steps | Cumulative: 8148
Completed Trajectory 31/500 | Saved 36 steps | Cumulative: 8184
Completed Trajectory 32/500 | Saved 37 steps | Cumulative: 8221
Completed Trajectory 33/500 | Saved 972 steps | Cumulative: 9193
Completed Trajectory 34/500 | Saved 231 steps | Cumulative: 9424
Completed Trajectory 35/500 | Saved 297 steps | Cumulative: 9721
Completed Trajectory 36/500 | Saved 41 steps | Cumulative: 9762
Completed Trajectory 37/500 | Saved 31 steps | Cumulative: 9793
Completed Trajectory 38/500 | Saved 365 steps | Cumulative: 10158
Completed Trajectory 39/500 | Saved 986 steps | Cumulative: 11144
Completed Trajectory 40/500 | Saved 36 steps | Cumulative: 11180
Completed Trajectory 41/500 | Saved 132 steps | Cumulative: 11312
Completed Trajectory 42/500 | Saved 988 steps | Cumulative: 12300
Completed Trajectory 43/500 | Saved 34 steps | Cumulative: 12334
Completed Trajectory 44/500 | Saved 554 steps | Cumulative: 12888
Completed Trajectory 45/500 | Saved 671 steps | Cumulative: 13559
Completed Trajectory 46/500 | Saved 91 steps | Cumulative: 13650
Completed Trajectory 47/500 | Saved 983 steps | Cumulative: 14633
Completed Trajectory 48/500 | Saved 39 steps | Cumulative: 14672
Completed Trajectory 49/500 | Saved 318 steps | Cumulative: 14990
Completed Trajectory 50/500 | Saved 207 steps | Cumulative: 15197
Completed Trajectory 51/500 | Saved 43 steps | Cumulative: 15240
Completed Trajectory 52/500 | Saved 984 steps | Cumulative: 16224
